species,decimalLatitude,decimalLongitude
Plathemis lydia,39.470523,-75.854073
Hetaerina americana,29.88919,-97.93567
Argia fumipennis,37.59234,-77.57599
Argia fumipennis,32.234742,-99.88563
Hetaerina americana,42.40815,-83.47143
Calopteryx maculata,38.880582,-94.899609
Libellula luctuosa,38.514822,-95.692463
Argia fumipennis,33.540509,-81.273694
Plathemis lydia,41.506437,-82.770044
Plathemis lydia,42.19928,-88.97988
Hetaerina americana,43.306493,-96.525794
Libellula vibrans,41.714342,-86.367191
Plathemis lydia,43.420341,-80.121744
Plathemis lydia,42.4018,-71.20838
Libellula cyanea,38.526517,-77.381682
Libellula incesta,39.10577,-74.82642
Sympetrum ambiguum,39.8806,-75.079
Libellula pulchella,41.956394,-83.946008
Libellula vibrans,30.698339,-81.44356
Aeshna canadensis,44.68408,-90.99315
Libellula luctuosa,37.16909,-78.440713
Calopteryx maculata,42.4891,-89.15677
Libellula pulchella,43.864638,-79.669685
Plathemis lydia,39.12076,-74.80881
Plathemis lydia,29.86887,-97.92992
Libellula vibrans,39.666648,-75.707449
Calopteryx aequabilis,43.027204,-81.307639
Libellula incesta,41.30454,-73.3929
Libellula luctuosa,39.633305,-95.178128
Libellula luctuosa,34.174,-85.2031
Sympetrum corruptum,35.80005,-120.28756
Argia fumipennis,36.174369,-85.920716
Calopteryx maculata,44.31347,-72.31802
Argia tibialis,39.06726,-77.328448
Calopteryx maculata,39.190221,-96.079518
Plathemis lydia,44.00564,-122.98128
Plathemis lydia,32.543152,-94.716484
Sympetrum ambiguum,32.85168,-94.41867
Libellula pulchella,39.674097,-74.900968
Aeshna umbrosa,45.21568,-123.72002
Libellula pulchella,39.337187,-74.997016
Libellula incesta,39.67427,-74.90056
Sympetrum semicinctum,43.348369,-89.305984
Argia fumipennis,36.031959,-94.145854
Libellula cyanea,39.04045,-76.72536
Argia moesta,30.208384,-97.637976
Libellula luctuosa,43.118998,-89.506461
Plathemis lydia,37.184152,-76.532926
Argia moesta,37.393,-114.55808
