species,decimalLatitude,decimalLongitude
Hyacinthoides hispanica,51.428365,-0.263977
Hyacinthoides non-scripta,52.550222,-2.231475
Hyacinthoides hispanica,53.337497,-3.142669
Hyacinthoides hispanica,50.848612,-0.174003
Hyacinthoides non-scripta,51.428618,-0.268606
Hyacinthoides non-scripta,51.490929,-2.635108
Hyacinthoides hispanica,52.424648,-1.558915
Hyacinthoides hispanica,53.226279,-2.87747
Hyacinthoides non-scripta,53.192527,-2.888544
Hyacinthoides non-scripta,53.624682,-2.554659
Hyacinthoides hispanica,53.257357,-2.507245
Hyacinthoides non-scripta,53.272912,-2.524562
Hyacinthoides non-scripta,53.175335,-2.893954
Hyacinthoides non-scripta,51.493535,-3.192903
Hyacinthoides hispanica,53.271013,-2.889465
Hyacinthoides non-scripta,53.273625,-2.507736
Hyacinthoides non-scripta,53.449395,-2.718062
Hyacinthoides hispanica,53.779409,-0.309433
Hyacinthoides hispanica,53.257383,-2.507688
Hyacinthoides hispanica,53.206019,-2.923338
Hyacinthoides non-scripta,51.394894,0.106053
Hyacinthoides non-scripta,53.202578,-2.538109
Hyacinthoides hispanica,53.751999,-0.378691
Hyacinthoides non-scripta,53.436682,-2.060484
Hyacinthoides hispanica,53.760812,-0.393732
Hyacinthoides hispanica,53.782284,-0.303587
Hyacinthoides non-scripta,54.64848,-5.789395
Hyacinthoides non-scripta,53.624572,-2.630259
Hyacinthoides hispanica,53.226699,-2.876631
Hyacinthoides non-scripta,51.540322,-0.329853
Hyacinthoides non-scripta,51.429107,-0.267087
Hyacinthoides non-scripta,51.250618,0.116606
Hyacinthoides non-scripta,53.161435,-2.211684
Hyacinthoides hispanica,51.547736,-0.327422
Hyacinthoides non-scripta,53.730428,-0.398578
Hyacinthoides non-scripta,54.567866,-5.891631
Hyacinthoides non-scripta,51.059936,-0.123011
Hyacinthoides non-scripta,50.959208,-1.01848
Hyacinthoides non-scripta,53.273276,-2.507194
Hyacinthoides non-scripta,53.203485,-2.531689
Hyacinthoides non-scripta,53.209685,-2.902529
Hyacinthoides hispanica,53.782201,-0.30463
Hyacinthoides hispanica,53.760338,-0.388405
Hyacinthoides non-scripta,53.203829,-2.530618
Hyacinthoides non-scripta,53.608118,-2.550217
Hyacinthoides hispanica,53.200409,-2.888551
Hyacinthoides hispanica,53.199255,-2.901044
Hyacinthoides hispanica,53.429644,-2.264833
Hyacinthoides non-scripta,53.184799,-2.877639
Hyacinthoides non-scripta,53.201416,-2.885987
Hyacinthoides non-scripta,52.376653,-1.428705
Hyacinthoides non-scripta,53.286762,-2.524462
Hyacinthoides non-scripta,52.266828,1.0482
Hyacinthoides non-scripta,53.254835,-3.026859
Hyacinthoides hispanica,53.205166,-2.918221
Hyacinthoides non-scripta,53.205364,-2.530433
Hyacinthoides hispanica,53.812345,-1.08138
Hyacinthoides hispanica,53.184933,-2.876104
Hyacinthoides non-scripta,53.273093,-2.536311
Hyacinthoides hispanica,50.906674,-0.097752
Hyacinthoides non-scripta,54.564377,-5.938921
Hyacinthoides non-scripta,54.56075,-5.939928
Hyacinthoides non-scripta,53.188385,-2.872755
Hyacinthoides non-scripta,52.416678,-1.543931
Hyacinthoides non-scripta,53.243846,-2.50169
Hyacinthoides hispanica,53.197617,-2.895413
Hyacinthoides non-scripta,52.443429,-1.542505
Hyacinthoides hispanica,53.946667,-1.057994
Hyacinthoides non-scripta,52.479976,-2.100816
Hyacinthoides hispanica,53.578927,-3.086025
Hyacinthoides non-scripta,51.457844,-3.317177
Hyacinthoides hispanica,53.19344,-2.866218
Hyacinthoides hispanica,52.985643,-1.133564
Hyacinthoides hispanica,53.209906,-2.902211
Hyacinthoides non-scripta,53.240919,-2.495279
Hyacinthoides hispanica,53.766037,-0.298279
Hyacinthoides non-scripta,53.193437,-2.866228
Hyacinthoides non-scripta,53.66889,-2.57461
Hyacinthoides non-scripta,53.622778,-2.550193
Hyacinthoides non-scripta,54.760181,-1.586004
Hyacinthoides non-scripta,53.202765,-2.535613
Hyacinthoides hispanica,51.478522,-2.521567
Hyacinthoides non-scripta,53.609735,-2.543913
Hyacinthoides non-scripta,53.293758,-2.70755
Hyacinthoides non-scripta,53.358491,-6.330985
Hyacinthoides non-scripta,53.610589,-2.542475
Hyacinthoides hispanica,53.200638,-2.887907
