species,year,ssp,suitability,range,centroid_x,centroid_y,runtime,suitability_change,range_change,distance_change
Aeshna canadensis,2100,ssp2,0.0613869480524176,4684079,-97.1821362031261,49.629441540214,567.620373010635,1.35530074930203,1.38859321337996,804.162441296516
Aeshna canadensis,2100,ssp5,0.130492979990719,9815923,-100.675724369182,54.2770202975996,572.116087913513,2.88102339619589,2.90992616923417,1302.58529837715
Aeshna interrupta,2050,ssp1,0.100371484307102,7534136,-99.9578782694889,47.5091889740191,429.181965112686,1.09878392325994,1.06811165832612,111.070598218625
Aeshna interrupta,2050,ssp2,0.0996619821312822,7404987,-100.178047471277,48.4783680740174,432.446208000183,1.09101688076086,1.04980225263433,216.41674337647
Aeshna interrupta,2050,ssp5,0.106234302590839,7731674,-100.3893606163,49.732205884439,433.216948986053,1.16296520462323,1.09611654710998,354.491532300892
Aeshna interrupta,2075,ssp1,0.105759857344802,7999782,-100.581297413222,48.5133011011172,431.5657081604,1.15777137081265,1.13412611854464,231.5692916348
Aeshna interrupta,2075,ssp2,0.107921223171167,7824153,-100.789440961394,50.2631264484976,431.021285057068,1.18143221471355,1.10922726054153,419.046362475988
Aeshna interrupta,2075,ssp5,0.133254058024711,8822714,-105.670672599343,53.5821392139154,427.550922870636,1.45875512031598,1.25079288208722,898.094548357221
Aeshna interrupta,2100,ssp1,0.110250171382849,8237713,-101.253668454334,48.9287089705111,457.387491941452,1.20692761184519,1.16785750791394,295.938185534388
Aeshna interrupta,2100,ssp2,0.120433443067929,8838339,-104.277154754186,52.0124325070623,504.878429889679,1.31840564060005,1.25300803252536,700.500008239127
Aeshna interrupta,2100,ssp5,0.163378881089048,11206282,-108.088437065809,58.0427060964054,523.798105955124,1.78853674607004,1.58871043085633,1402.24547511389
Aeshna constricta,2050,ssp1,0.0859321537616127,5959658,-97.7524332216587,44.1963752278666,496.287508964539,1.04458784878958,1.05156845318284,36.3838367574133
Aeshna constricta,2050,ssp2,0.0864985993575647,5847417,-98.6946269020625,45.1390961462049,490.669697999954,1.05147353896061,1.03176377735183,163.381067035726
Aeshna constricta,2050,ssp5,0.0866895996942703,5670839,-98.8740766582475,46.1898164027327,493.272590875626,1.05379533146905,1.00060698038024,274.642780564249
Aeshna constricta,2075,ssp1,0.0891602748010263,5848716,-97.9092577662168,44.9505124250576,496.648162841797,1.08382875995711,1.03199298302449,120.915637837181
Aeshna constricta,2075,ssp2,0.0907061324277458,6006158,-99.4070299978363,46.6276655997916,518.479501008987,1.10262014388203,1.0597732751832,335.562345860065
Aeshna constricta,2075,ssp5,0.0985108773307362,6653452,-99.7288900249874,49.3923517993701,497.450284004211,1.19749431299901,1.17398686769716,633.318357353375
Aeshna constricta,2100,ssp1,0.0905130101757053,5886684,-97.7983357442265,45.1029050717638,446.884270906448,1.10027255745504,1.03869235252362,136.461176890034
Aeshna constricta,2100,ssp2,0.100177012526957,6801594,-98.5920740966172,47.6924500649106,422.725311040878,1.21774778628261,1.2001261954558,430.186966126188
Aeshna constricta,2100,ssp5,0.132642995159508,8240285,-105.918057465568,54.1436668236066,423.510302066803,1.61240298195078,1.45398003563892,1290.28109628158
Argia fumipennis,2050,ssp1,0.0893836219347163,5438478,-87.9310892623861,37.9259722326293,1628.33664798737,0.976722883696077,0.93675254130788,54.567704285991
Argia fumipennis,2050,ssp2,0.0920229993048361,5465498,-87.6151283368354,38.0940093459321,1695.31487083435,1.00556418840387,0.9414066106387,87.8997336360573
Argia fumipennis,2050,ssp5,0.0974685360944204,5929192,-88.3944961720888,38.1900636225422,1652.99031996727,1.06506927760557,1.02127574551232,64.274112140555
Argia fumipennis,2075,ssp1,0.0894576484721655,5366753,-87.5684487849045,38.1746333989455,1678.37761521339,0.977531794898849,0.924398243648625,96.6910050594694
Argia fumipennis,2075,ssp2,0.0907945212422343,5114573,-86.585795066747,38.582773655559,1933.56584715843,0.992140223141666,0.880961411529966,192.723593351847
Argia fumipennis,2075,ssp5,0.0986229289673668,5750346,-88.1136107833356,38.6070707093965,1963.77878379822,1.07768369075394,0.990470353819506,113.503311433047
Argia fumipennis,2100,ssp1,0.0936757286839419,5626484,-88.4921225140148,38.2541365668355,1672.62043714523,1.0236240809232,0.969135700397818,71.7712449488917
Argia fumipennis,2100,ssp2,0.0897339988894837,4695205,-85.5764647129331,39.1206343810703,1684.77960109711,0.98055156262219,0.808727223997498,298.737220943067
Argia fumipennis,2100,ssp5,0.0953347940780427,5376222,-87.635854988494,39.1846262103028,1660.07621002197,1.0417532090665,0.9260292348586,187.199137745165
Argia apicalis,2050,ssp1,0.0930777168790269,3680595,-91.0634947216885,36.5858503992558,1021.70751285553,1.01247279898727,0.984599132301776,30.2651445102998
Argia apicalis,2050,ssp2,0.100284782582954,4084576,-90.7507923384246,37.2860074104685,903.197053909302,1.09086919965559,1.09266843687519,66.615730012931
Argia apicalis,2050,ssp5,0.106688573705466,4337902,-90.6813245915088,37.6984439857065,922.762680053711,1.16052780903431,1.16043589289507,112.549132157094
Argia apicalis,2075,ssp1,0.0961651566380362,3873965,-90.4508737194218,36.9839369091474,928.797298908234,1.04605708617571,1.03632770722327,42.4313835640769
Argia apicalis,2075,ssp2,0.111004511037033,4562931,-90.5517454322127,37.8831175193861,879.153613805771,1.20747534166476,1.22063359412075,134.029544834395
Argia apicalis,2075,ssp5,0.121408502787618,4888681,-90.6028180203013,38.5671378596393,917.406430959702,1.32064699006312,1.30777525663654,209.210759205451
Argia apicalis,2100,ssp1,0.0961752256887748,3816649,-90.7434725309553,36.9698396191164,904.563684940338,1.04616661443151,1.02099505479425,31.530456804509
Argia apicalis,2100,ssp2,0.116065051000954,4770733,-90.1584175975193,38.0252781299814,864.58017206192,1.26252244889363,1.27622288576805,157.593119631926
Argia apicalis,2100,ssp5,0.137012943548818,5364051,-91.6194324246987,39.3381419193397,875.840138196945,1.49038763630885,1.43494189396619,304.172672036571
Argia moesta,2050,ssp1,0.115544250230546,6211959,-92.1488110600485,37.4811011821351,1005.55139803886,1.03268300204412,1.04186629473203,53.4982473253396
Argia moesta,2050,ssp2,0.11977998289121,6280440,-91.5251872144787,37.7152516298648,1006.50233697891,1.07054009238954,1.05335188981235,25.7678563520316
Argia moesta,2050,ssp5,0.127188175076722,6792774,-91.7760801523059,37.5822176988113,1052.87802791595,1.13675121177098,1.13928026220587,23.2558706525125
Argia moesta,2075,ssp1,0.116873997672804,6288555,-92.1392491169918,37.5648385197149,1000.64065980911,1.04456769191741,1.05471293308095,53.3899275836995
Argia moesta,2075,ssp2,0.129378709155351,6987414,-91.8738869601522,37.6262920157777,1022.21786904335,1.15632922888464,1.1719251743192,33.1790645391853
Argia moesta,2075,ssp5,0.141542257106909,7575880,-92.1407124887321,37.7922026150619,1219.68634390831,1.26504159829341,1.27062236324073,62.8308852717987
Argia moesta,2100,ssp1,0.115031808285152,6027090,-92.0877659496899,37.7062374197532,1060.04018998146,1.02810302436902,1.01086016928259,54.0118721313741
Argia moesta,2100,ssp2,0.135106701078067,6988059,-91.8302663279475,37.8070743783672,1064.23075604439,1.20752346730527,1.17203335335903,43.9060089494923
Argia moesta,2100,ssp5,0.15575992114132,8129363,-92.9059340836101,37.5133447784808,1064.78119802475,1.39211274158107,1.36345222293671,120.480748163387
Argia sedula,2050,ssp1,0.0770171718616644,6539934,-96.906116013345,33.4525385014486,570.754543066025,1.00447659153744,0.998411380172632,37.0297495375172
