species,year,ssp,range_mean_suitability,range_size,range_centroid_x,range_centroid_y,eval_runtime,eval_training_auc,eval_testing_auc,output_threshold,Bioclim1,Bioclim10,Bioclim12,Bioclim4,Bioclim7,PFT14,PFT2,PFT10,PFT6,Population,slope,PFT1,PFT7,Bioclim11,PFT13,Rainfed,PFT12,Irrigated,PFT31,PFT11,genus,distance
Aeshna interrupta,2020,baseline,0.065,5707963,-101.2192,46.1349,1650.4395,0.9526,0.9472,0.1964,32.0991,,,12.3732,10.6869,,2.564,,,8.8358,1.9993,,,26.7897,,1.2545,3.3974,,,,Aeshna,0.0
Aeshna interrupta,2050,ssp1,0.0678,5725816,-101.9041,46.8142,934.4949,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,92.02440018503674
Aeshna interrupta,2050,ssp2,0.064,5206729,-101.2232,47.4056,933.8526,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,141.25941953505472
Aeshna interrupta,2050,ssp5,0.0611,4868450,-100.4949,48.3848,921.8241,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,256.0679175898906
Aeshna interrupta,2075,ssp1,0.0649,5266812,-102.5629,47.4922,919.1855,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,182.43170265653748
Aeshna interrupta,2075,ssp2,0.0597,4531156,-101.9933,48.7992,922.0771,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,301.90623588864736
Aeshna interrupta,2075,ssp5,0.0598,4760577,-100.3849,51.5484,917.5959,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,605.1121701167946
Aeshna interrupta,2100,ssp1,0.0628,4952720,-103.1455,47.7415,919.3106,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,231.09771645667098
Aeshna interrupta,2100,ssp2,0.0528,3706241,-105.9027,50.2919,917.2841,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,578.376320629725
Aeshna interrupta,2100,ssp5,0.0599,3904009,-105.2379,56.7047,928.6722,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,1208.1865873722095
Aeshna constricta,2020,baseline,0.0433,4185575,-89.7663,44.1577,1038.4933,0.9687,0.9689,0.1238,52.3766,31.1663,11.4229,,,,2.4138,1.4913,,,,,,1.1291,,,,,,,Aeshna,0.0
Aeshna constricta,2050,ssp1,0.0478,4458064,-90.3277,44.2995,400.3372,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,47.54132828222427
Aeshna constricta,2050,ssp2,0.052,4707750,-91.1409,45.362,403.7679,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,172.4921340432234
Aeshna constricta,2050,ssp5,0.0565,5352867,-93.1049,47.3854,413.6332,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,442.7761672217139
Aeshna constricta,2075,ssp1,0.0524,4974704,-92.1517,45.2056,407.1465,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,222.08123172485278
Aeshna constricta,2075,ssp2,0.0575,5568443,-92.0832,47.8475,402.4312,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,447.6186059890363
Aeshna constricta,2075,ssp5,0.0902,9268190,-102.4769,52.4934,412.2617,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,1318.3291186413783
Aeshna constricta,2100,ssp1,0.0583,5422991,-92.8033,45.4373,407.7408,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,279.19234982987797
Aeshna constricta,2100,ssp2,0.072,7352688,-93.4591,49.4955,406.2311,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,656.6850840478727
Aeshna constricta,2100,ssp5,0.1484,12348096,-111.4697,56.4267,408.9226,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,2046.572177357808
Calopteryx maculata,2020,baseline,0.0715,5399291,-85.9509,39.2216,1209.5081,0.8476,0.9648,0.2648,,17.1967,39.6759,15.5333,,,11.2959,3.1172,,,7.4965,,5.6846,,,,,,,,Calopteryx,0.0
Calopteryx maculata,2050,ssp1,0.0707,5349127,-85.9254,39.2908,716.3945,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,7.991672426543894
Calopteryx maculata,2050,ssp2,0.0702,5293781,-85.8114,39.3961,707.8436,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,22.805324799380312
Calopteryx maculata,2050,ssp5,0.0681,5175642,-85.6869,39.6115,707.976,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,48.89492177447564
Calopteryx maculata,2075,ssp1,0.071,5331033,-85.9384,39.4945,707.7202,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,30.31714029749343
Calopteryx maculata,2075,ssp2,0.0658,4954076,-85.0744,39.8425,707.5225,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,102.12972140809528
Calopteryx maculata,2075,ssp5,0.0594,4312335,-84.3711,40.5578,711.6461,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,200.66415160228738
Calopteryx maculata,2100,ssp1,0.0731,5371670,-86.0592,39.5852,711.8083,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,41.43176602652193
Calopteryx maculata,2100,ssp2,0.0669,4919509,-83.8384,41.18,705.3173,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,282.18413719154074
Calopteryx maculata,2100,ssp5,0.0468,2228417,-81.3963,43.9019,706.1947,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,643.6248708168391
Calopteryx aequabilis,2020,baseline,0.0509,3584420,-89.7818,44.108,1402.155,0.9551,0.9745,0.191,35.9362,16.7502,6.9506,,4.4062,4.1621,,,,2.5077,,0.9201,,28.3668,,,,,,,Calopteryx,0.0
Calopteryx aequabilis,2050,ssp1,0.0538,3778299,-90.6258,44.1985,849.8448,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,68.26394745897531
Calopteryx aequabilis,2050,ssp2,0.0548,3914381,-90.2076,45.3742,838.7913,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,144.69290213649418
Calopteryx aequabilis,2050,ssp5,0.0564,4387276,-90.7112,46.9493,850.1063,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,324.01979234431303
Calopteryx aequabilis,2075,ssp1,0.0582,4250754,-91.2773,45.1538,856.7006,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,166.0914092107458
Calopteryx aequabilis,2075,ssp2,0.056,4490117,-90.3177,47.1736,855.6743,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,343.2734790973705
Calopteryx aequabilis,2075,ssp5,0.0601,5199087,-92.3617,49.8956,852.1337,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,672.5535364126208
Calopteryx aequabilis,2100,ssp1,0.0603,4396058,-91.9276,45.2655,852.7358,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,213.25250050182814
Calopteryx aequabilis,2100,ssp2,0.0604,5218684,-90.9282,48.4368,859.7089,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,489.2053298782485
Calopteryx aequabilis,2100,ssp5,0.0522,5180151,-106.0047,55.0535,1718.5008,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,1682.6960421684898
Calopteryx dimidiata,2020,baseline,0.015,1501890,-83.6292,34.9394,1984.3808,0.9834,0.9941,0.1411,6.1113,3.7594,19.7508,,5.101,,,,,,9.3473,24.9493,12.6543,,8.4266,1.2369,,2.3555,6.3078,,Calopteryx,0.0
Calopteryx dimidiata,2050,ssp1,0.0161,1576065,-84.0202,34.8686,1300.3514,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,36.588292573148415
Calopteryx dimidiata,2050,ssp2,0.0141,1447310,-84.157,34.7974,1292.8582,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,50.764928347635895
Calopteryx dimidiata,2050,ssp5,0.0154,1590504,-83.2119,35.7304,1291.4752,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,95.60806618495032
Calopteryx dimidiata,2075,ssp1,0.015,1532640,-83.7649,35.3364,1300.8926,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,45.7476887625633
Calopteryx dimidiata,2075,ssp2,0.0126,1322493,-83.6784,35.2058,1296.5037,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,29.893648827181526
Calopteryx dimidiata,2075,ssp5,0.0147,1539254,-82.7788,36.3417,1293.7175,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,173.606814463483
Calopteryx dimidiata,2100,ssp1,0.0137,1412934,-84.8372,35.3074,1288.3723,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,117.43451986818384
Calopteryx dimidiata,2100,ssp2,0.0111,1099565,-83.9377,35.1538,1292.6172,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,36.85084263396493
Calopteryx dimidiata,2100,ssp5,0.0123,1290902,-83.351,35.6345,1302.7303,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,81.1646483639925
Calopteryx angustipennis,2020,baseline,0.0228,881696,-95.2369,36.7251,609.4678,0.9868,0.9953,0.4565,,26.2942,,27.7961,,,,,,,,,,45.9097,,,,,,,Calopteryx,0.0
Calopteryx angustipennis,2050,ssp1,0.0216,845600,-98.7475,37.5349,132.3028,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,324.61546679760886
Calopteryx angustipennis,2050,ssp2,0.0226,868690,-101.3766,38.3385,134.5321,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,571.3169921704726
Calopteryx angustipennis,2050,ssp5,0.0215,802582,-100.7947,39.2025,134.2228,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,560.328822987235
Calopteryx angustipennis,2075,ssp1,0.0258,1022844,-96.8097,38.4273,131.7605,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,234.50115993286207
Calopteryx angustipennis,2075,ssp2,0.0229,890857,-101.0153,39.6268,144.5747,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,599.8809600629316
Calopteryx angustipennis,2075,ssp5,0.0193,658157,-106.6155,41.0463,137.709,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,1096.447090212596
Calopteryx angustipennis,2100,ssp1,0.0259,965259,-97.5876,38.1368,136.9076,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,260.43409725013527
Calopteryx angustipennis,2100,ssp2,0.0232,897413,-100.3366,40.4519,136.122,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,606.8886724069298
Calopteryx angustipennis,2100,ssp5,0.0157,540610,-104.1252,42.6046,138.8043,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,1002.9015168810512
Calopteryx amata,2020,baseline,0.032,1754888,-90.4398,46.7517,869.9,0.9828,0.9812,0.3358,,,18.0653,,,,,,,,,,,47.5393,33.1354,1.26,,,,,Calopteryx,0.0
Calopteryx amata,2050,ssp1,0.0323,1793987,-90.1308,46.8001,220.2231,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,24.20494779018976
Calopteryx amata,2050,ssp2,0.0309,1699352,-90.1911,47.6872,219.0066,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,105.69634089296459
Calopteryx amata,2050,ssp5,0.0362,2006212,-87.0388,47.9654,220.2047,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,290.17178324394695
Calopteryx amata,2075,ssp1,0.0318,1692970,-90.2889,48.0267,216.2617,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,142.2095320550858
Calopteryx amata,2075,ssp2,0.0315,1680178,-89.5073,49.0225,217.7553,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,261.93466642107813
Calopteryx amata,2075,ssp5,0.0431,2435310,-83.2954,49.3117,221.1636,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,603.7408293395935
